ObjectId,merge_province_cn,power_type_cn,viable_at_zero_hurdle,critical_nominal_equity_return,critical_nominal_equity_return_pct,right_censored_at_15pct
11290,陕西,光伏,False,,,False
11291,河南,光伏,False,,,False
11298,河北,光伏,False,,,False
113,甘肃,光伏,False,,,False
1130,广西,光伏,False,,,False
11305,河南,光伏,False,,,False
11307,山东,光伏,False,,,False
11309,安徽,光伏,False,,,False
1132,贵州,光伏,False,,,False
11320,浙江,光伏,False,,,False
11324,浙江,光伏,False,,,False
11329,河南,光伏,False,,,False
1133,广西,光伏,False,,,False
11331,浙江,光伏,False,,,False
11335,湖南,光伏,False,,,False
1134,贵州,光伏,False,,,False
11344,浙江,光伏,False,,,False
11358,上海,光伏,False,,,False
11363,辽宁,光伏,False,,,False
11373,西藏,光伏,True,0.08517283299006526,8.517283299006525,False
11374,吉林,光伏,False,,,False
11377,上海,光伏,False,,,False
11383,江苏,光伏,False,,,False
1139,广西,光伏,False,,,False
11390,上海,光伏,False,,,False
11392,江苏,光伏,False,,,False
11393,山东,光伏,False,,,False
114,甘肃,光伏,False,,,False
1140,贵州,光伏,False,,,False
11400,江苏,光伏,False,,,False
11404,山东,光伏,False,,,False
11410,江苏,光伏,False,,,False
11421,江苏,光伏,False,,,False
11424,陕西,光伏,False,,,False
11425,浙江,光伏,False,,,False
11431,内蒙古,光伏,False,,,False
11436,江苏,光伏,False,,,False
11438,山东,光伏,False,,,False
11439,江西,光伏,False,,,False
11440,江苏,光伏,False,,,False
11449,山东,光伏,False,,,False
11451,江苏,光伏,False,,,False
11453,江苏,光伏,False,,,False
11459,陕西,光伏,False,,,False
11461,山东,光伏,False,,,False
11468,河南,光伏,False,,,False
1147,贵州,光伏,False,,,False
11473,江西,光伏,False,,,False
11474,浙江,光伏,False,,,False
11479,江苏,光伏,False,,,False
11480,上海,光伏,False,,,False
11481,江苏,光伏,False,,,False
11482,新疆,光伏,False,,,False
11485,浙江,光伏,False,,,False
11487,陕西,光伏,False,,,False
11490,河北,光伏,False,,,False
11493,浙江,光伏,False,,,False
115,甘肃,光伏,False,,,False
11518,浙江,光伏,False,,,False
11526,浙江,光伏,False,,,False
11534,浙江,光伏,False,,,False
11540,湖南,光伏,False,,,False
11542,河北,光伏,False,,,False
11543,河北,光伏,False,,,False
11544,山西,光伏,False,,,False
11545,河南,光伏,False,,,False
11548,湖北,光伏,False,,,False
1155,广东,光伏,False,,,False
11550,浙江,光伏,False,,,False
11552,山东,光伏,False,,,False
11556,浙江,光伏,False,,,False
11558,陕西,光伏,False,,,False
11561,山东,光伏,False,,,False
11563,河南,光伏,False,,,False
11564,江苏,光伏,False,,,False
11569,宁夏,光伏,False,,,False
11570,江苏,光伏,False,,,False
11574,河北,光伏,False,,,False
11576,河北,光伏,False,,,False
11577,江苏,光伏,False,,,False
11578,湖北,光伏,False,,,False
11581,江苏,光伏,False,,,False
11582,江苏,光伏,False,,,False
11587,山东,光伏,False,,,False
11594,山东,光伏,False,,,False
11598,浙江,光伏,False,,,False
116,甘肃,光伏,False,,,False
11600,福建,光伏,False,,,False
11603,河北,光伏,False,,,False
11605,山东,光伏,False,,,False
1161,广西,光伏,False,,,False
11614,山东,光伏,False,,,False
11616,河南,光伏,False,,,False
11619,山东,光伏,False,,,False
1162,广西,光伏,False,,,False
11623,河北,光伏,False,,,False
11628,湖北,光伏,False,,,False
1163,广西,光伏,False,,,False
11634,浙江,光伏,False,,,False
11635,山东,光伏,False,,,False
11636,河北,光伏,False,,,False
1164,贵州,光伏,False,,,False
11641,安徽,光伏,False,,,False
1165,贵州,光伏,False,,,False
11650,山东,光伏,False,,,False
11651,浙江,光伏,False,,,False
1166,广东,光伏,False,,,False
11667,浙江,光伏,False,,,False
11685,浙江,光伏,False,,,False
11686,安徽,光伏,False,,,False
1169,广西,光伏,False,,,False
11692,吉林,光伏,False,,,False
11693,安徽,光伏,False,,,False
117,甘肃,光伏,False,,,False
1170,广东,光伏,False,,,False
11706,宁夏,光伏,False,,,False
11716,山东,光伏,False,,,False
1172,贵州,光伏,False,,,False
11720,辽宁,光伏,False,,,False
11729,安徽,光伏,False,,,False
11737,辽宁,光伏,False,,,False
11744,天津,光伏,False,,,False
11745,河南,光伏,False,,,False
11747,四川,光伏,False,,,False
1175,广东,光伏,False,,,False
11750,安徽,光伏,False,,,False
11758,重庆,光伏,False,,,False
11759,山东,光伏,False,,,False
11766,山东,光伏,False,,,False
11772,浙江,光伏,False,,,False
11774,吉林,光伏,False,,,False
11780,江苏,光伏,False,,,False
11786,山东,光伏,False,,,False
1179,广西,光伏,False,,,False
118,甘肃,光伏,False,,,False
1180,广西,光伏,False,,,False
11801,山东,光伏,False,,,False
11807,山东,光伏,False,,,False
11810,河北,光伏,False,,,False
11811,山东,光伏,False,,,False
1182,广东,光伏,False,,,False
1183,贵州,光伏,False,,,False
11833,山东,光伏,False,,,False
11834,新疆,光伏,False,,,False
1184,贵州,光伏,False,,,False
11841,江苏,光伏,False,,,False
11845,山东,光伏,False,,,False
11847,江苏,光伏,False,,,False
11849,江苏,光伏,False,,,False
11850,上海,光伏,False,,,False
11852,辽宁,光伏,False,,,False
11856,江苏,光伏,False,,,False
11858,江苏,光伏,False,,,False
11859,甘肃,光伏,False,,,False
1186,广西,光伏,False,,,False
11862,江苏,光伏,False,,,False
11863,山东,光伏,False,,,False
11865,浙江,光伏,False,,,False
11867,吉林,光伏,False,,,False
11868,山东,光伏,False,,,False
1187,广西,光伏,False,,,False
11871,陕西,光伏,False,,,False
11872,黑龙江,光伏,False,,,False
11875,浙江,光伏,False,,,False
11877,浙江,光伏,False,,,False
11879,辽宁,光伏,False,,,False
1188,贵州,光伏,False,,,False
11883,江西,光伏,False,,,False
11884,辽宁,光伏,False,,,False
11888,江西,光伏,False,,,False
11891,河南,光伏,False,,,False
11892,浙江,光伏,False,,,False
11897,浙江,光伏,False,,,False
119,甘肃,光伏,True,0.0037221590057015413,0.37221590057015413,False
11900,山东,光伏,False,,,False
11905,上海,光伏,False,,,False
11907,山东,光伏,False,,,False
1191,贵州,光伏,False,,,False
11912,上海,光伏,False,,,False
11914,天津,光伏,False,,,False
11916,上海,光伏,False,,,False
1192,广西,光伏,False,,,False
11920,安徽,光伏,False,,,False
11925,山西,光伏,False,,,False
11927,河南,光伏,False,,,False
1193,广东,光伏,False,,,False
11938,山东,光伏,False,,,False
1194,贵州,光伏,False,,,False
11944,山东,光伏,False,,,False
11945,山东,光伏,False,,,False
1195,贵州,光伏,False,,,False
11953,山东,光伏,False,,,False
11956,陕西,光伏,False,,,False
11958,陕西,光伏,False,,,False
11959,河南,光伏,False,,,False
1196,广西,光伏,False,,,False
11965,江西,光伏,False,,,False
11969,河南,光伏,False,,,False
11976,河南,光伏,False,,,False
1198,广西,光伏,False,,,False
11984,宁夏,光伏,False,,,False
11985,西藏,光伏,True,0.08131772163324058,8.131772163324058,False
1199,广东,光伏,False,,,False
11990,西藏,光伏,True,0.05972807561047374,5.972807561047374,False
11991,河北,光伏,False,,,False
11995,河北,光伏,False,,,False
11996,山西,光伏,False,,,False
11999,山西,光伏,False,,,False
12,安徽,光伏,False,,,False
12003,江西,光伏,False,,,False
12004,山东,光伏,False,,,False
12005,山东,光伏,False,,,False
12008,山东,光伏,False,,,False
12016,云南,光伏,False,,,False
12018,山东,光伏,False,,,False
1202,广西,光伏,False,,,False
12021,山东,光伏,False,,,False
12022,山东,光伏,False,,,False
1203,广东,光伏,False,,,False
12030,河南,光伏,False,,,False
12032,山东,光伏,False,,,False
12033,河南,光伏,False,,,False
12037,江苏,光伏,False,,,False
12038,江苏,光伏,False,,,False
12039,江苏,光伏,False,,,False
1204,贵州,光伏,False,,,False
12040,天津,光伏,False,,,False
12042,陕西,光伏,False,,,False
12043,陕西,光伏,False,,,False
12044,陕西,光伏,False,,,False
12046,河南,光伏,False,,,False
12047,甘肃,光伏,False,,,False
12054,海南,光伏,False,,,False
12055,海南,光伏,False,,,False
12057,浙江,光伏,False,,,False
12061,山东,光伏,False,,,False
12062,山东,光伏,False,,,False
12066,河南,光伏,False,,,False
12067,河南,光伏,False,,,False
12068,浙江,光伏,False,,,False
12069,浙江,光伏,False,,,False
12070,浙江,光伏,False,,,False
12073,浙江,光伏,False,,,False
1208,贵州,光伏,False,,,False
12083,河南,光伏,False,,,False
12088,河北,光伏,False,,,False
12090,山东,光伏,False,,,False
12096,河南,光伏,False,,,False
121,甘肃,光伏,True,0.009582531731575725,0.9582531731575725,False
12100,湖北,光伏,False,,,False
12101,湖北,光伏,False,,,False
1211,广东,光伏,False,,,False
12114,江西,光伏,False,,,False
12116,重庆,光伏,False,,,False
12118,山东,光伏,False,,,False
12128,内蒙古,光伏,False,,,False
12132,山东,光伏,False,,,False
12138,河南,光伏,False,,,False
12139,江西,光伏,False,,,False
1214,贵州,光伏,False,,,False
12143,山东,光伏,False,,,False
1215,贵州,光伏,False,,,False
