ObjectId,merge_province_cn,power_type_cn,resource_branch,terminal_h2_price,strict_marginal_vs_6p5,retain_low_return,raw_npv_colocated_6p5_pass,raw_npv_independent_h2_8_pass,reach_colocated_6p5,reach_independent_h2_8,npv_low_100m_cny,npv_colocated_6p5_100m_cny
W8042,云南,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.1447826716282546,-0.008094310737442158
W8043,云南,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.13788826603630788,-0.007708871479815489
W8045,云南,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-1.6906625933358344,-0.5057206052555114
W8047,云南,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.4665481257426983,-0.16430603070289668
W8048,云南,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.3887901119215832,-0.1369216962003617
W8050,云南,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-1.3005097074214271,-0.38901586173153907
W8053,云南,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.4665481257426983,-0.16430603070289668
W8054,云南,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.46570281839051947,-0.19934751322713337
W8056,云南,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.14130978263522392,-0.046042315503585944
W8058,云南,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.11808833391856065,-0.047530130743726695
W8059,云南,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.18091504672784733,-0.06108425026068363
W8061,云南,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.18073704030498344,-0.017598178341186623
W8062,云南,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.3765355090408409,-0.036662877272199176
W8064,云南,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.12146730675749531,-0.051864350726842104
W8065,云南,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.06583153293261242,-0.007247123970009447
W8066,云南,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.334081016240669,-0.13697122208018045
W8070,云南,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.3720504343708787,-0.16826066128760192
