scenario_id,resource_branch,system_capex_cny_per_kw,curtailed_power_price_cny_per_kwh,opex_accounting_case,fixed_om_rate,stack_replacement_share,resource_realization,debt_ratio,loan_rate,is_main,candidate_station_count,capacity_candidates_per_station,minimum_electrolyzer_capacity_mw,low_return_entry_count,colocated_6p5_same_configuration_count,colocated_6p5_independent_optimized_count,independent_h2_8_same_configuration_count,independent_h2_8_independent_optimized_count,strict_marginal_vs_6p5_count,strict_marginal_vs_8_count,low_return_station_count,low_return_capacity_gw,low_return_capex_100m_cny,low_return_h2_mt_per_year,low_return_mean_capture_target,low_return_median_capture_target,strict_6p5_station_count,strict_6p5_capacity_gw,strict_6p5_capex_100m_cny,strict_6p5_h2_mt_per_year,strict_6p5_mean_capture_target,strict_6p5_median_capture_target,strict_8_station_count,strict_8_capacity_gw,strict_8_capex_100m_cny,strict_8_h2_mt_per_year,strict_8_mean_capture_target,strict_8_median_capture_target
C764,curtailment_only,10800.0,0.05,WB_allin_3pct,0.03,0.0,0.5,0.8,0.035,False,10214,16,1.0,1509,620,906,341,716,603,793,1509,4.6699562314938206,504.35527300133253,0.17170992319165893,0.5494565937707091,0.6,603,1.1106384932483133,119.94895727081783,0.034476048918003974,0.378988391376451,0.4,793,1.5194742358258027,164.1032174691867,0.04856430341304587,0.42261034047919294,0.4
C765,curtailment_only,10800.0,0.05,WB_allin_3pct,0.03,0.0,0.5,0.8,0.045,False,10214,16,1.0,1444,450,808,271,581,636,863,1444,4.372786537528967,472.26094605312835,0.163288923059834,0.5410664819944598,0.6,636,1.1363634018237472,122.72724739696469,0.036443523327294065,0.3915094339622642,0.4,863,1.6234896838053605,175.33688585097897,0.053833243302344305,0.435225955967555,0.5
C766,curtailment_only,10800.0,0.05,WB_allin_3pct,0.03,0.0,0.75,0.5,0.025,False,10214,16,1.0,1889,437,973,194,652,916,1237,1889,8.034445755123977,867.7201415533896,0.28628766671728745,0.5263790365272631,0.6,916,2.2450081798707036,242.460883426036,0.06726925541222578,0.35461790393013104,0.3,1237,3.3902842232749935,366.15069611369927,0.10605822782475459,0.41942603071948265,0.4
C767,curtailment_only,10800.0,0.05,WB_allin_3pct,0.03,0.0,0.75,0.5,0.035,False,10214,16,1.0,1780,356,895,150,593,885,1187,1780,7.68387649418346,829.8586613718135,0.27682154801100284,0.5249438202247191,0.6,885,2.2266427352402096,240.47741540594268,0.06834024646804643,0.3580790960451977,0.3,1187,3.3346935275449767,360.1469009748575,0.10647939322197454,0.42375737152485254,0.4
C768,curtailment_only,10800.0,0.05,WB_allin_3pct,0.03,0.0,0.75,0.5,0.045,False,10214,16,1.0,1699,324,815,113,509,884,1190,1699,7.160939264764745,773.3814405945924,0.262453166236281,0.5133490288404945,0.6,884,2.1622718059006365,233.52535503726875,0.06828843822576862,0.36151583710407237,0.3,1190,3.33725170908765,360.4231845814662,0.10980275488091795,0.42342857142857143,0.4
C769,curtailment_only,10800.0,0.05,WB_allin_3pct,0.03,0.0,0.75,0.7,0.025,False,10214,16,1.0,1847,590,1062,341,880,785,967,1847,7.925971924898262,856.0049678890123,0.28337434782953475,0.5280346507850568,0.6,785,1.8825045960765052,203.31049637626256,0.0559556321360848,0.3330955414012739,0.3,967,2.4730282713709544,267.0870533080631,0.07540260102124242,0.3717476732161324,0.4
C770,curtailment_only,10800.0,0.05,WB_allin_3pct,0.03,0.0,0.75,0.7,0.035,False,10214,16,1.0,1703,516,1014,284,756,689,947,1703,7.255758855226391,783.6219563644504,0.2650744201663283,0.5172812683499706,0.6,689,1.6007043071075668,172.8760651676172,0.048976529902845865,0.31789550072568934,0.3,947,2.4014541306910564,259.3570461146341,0.0761661234557001,0.38007391763463566,0.4
C771,curtailment_only,10800.0,0.05,WB_allin_3pct,0.03,0.0,0.75,0.7,0.045,False,10214,16,1.0,1622,369,894,229,640,728,982,1622,6.775616489795478,731.7665808979117,0.2516226462800254,0.5081997533908754,0.5,728,1.6936117293524415,182.91006677006368,0.05361606751938684,0.32953296703296703,0.3,982,2.460715929388494,265.7573203739574,0.0807383072169902,0.38553971486761707,0.4
C772,curtailment_only,10800.0,0.05,WB_allin_3pct,0.03,0.0,0.75,0.8,0.025,False,10214,16,1.0,1826,763,1080,440,988,746,838,1826,7.828204568371464,845.4460933841184,0.2807404483730821,0.5258214676889376,0.6,746,1.7531187489887035,189.33682489077995,0.052151527537734575,0.32526809651474525,0.3,838,2.0169509908530885,217.83070701213356,0.060741290052143675,0.3431384248210023,0.3
C773,curtailment_only,10800.0,0.05,WB_allin_3pct,0.03,0.0,0.75,0.8,0.035,False,10214,16,1.0,1692,632,1030,342,859,662,833,1692,7.0914166498781706,765.8729981868423,0.2605179204746472,0.5115070921985816,0.6,662,1.4788165600880947,159.71218848951423,0.04530621774765992,0.3061480362537764,0.3,833,1.9813944437105782,213.99059992074243,0.06235673617233268,0.34594237695078034,0.3
