ObjectId,merge_province_cn,power_type_cn,low_return_entry_weather_year_count,strict_marginal_weather_year_count,colocated_6p5_weather_year_count
12046,河南,光伏,0,0,0
12047,甘肃,光伏,0,0,0
12054,海南,光伏,0,0,0
12055,海南,光伏,0,0,0
12057,浙江,光伏,0,0,0
12061,山东,光伏,0,0,0
12062,山东,光伏,0,0,0
12066,河南,光伏,0,0,0
12067,河南,光伏,0,0,0
12068,浙江,光伏,0,0,0
12069,浙江,光伏,0,0,0
12070,浙江,光伏,0,0,0
12073,浙江,光伏,0,0,0
1208,贵州,光伏,0,0,0
12083,河南,光伏,0,0,0
12088,河北,光伏,0,0,0
12090,山东,光伏,0,0,0
12096,河南,光伏,0,0,0
121,甘肃,光伏,6,6,0
12100,湖北,光伏,0,0,0
12101,湖北,光伏,0,0,0
1211,广东,光伏,0,0,0
12114,江西,光伏,0,0,0
12116,重庆,光伏,0,0,0
12118,山东,光伏,0,0,0
12128,内蒙古,光伏,0,0,0
12132,山东,光伏,0,0,0
12138,河南,光伏,0,0,0
12139,江西,光伏,0,0,0
1214,贵州,光伏,0,0,0
12143,山东,光伏,0,0,0
1215,贵州,光伏,0,0,0
12150,江苏,光伏,0,0,0
12151,江苏,光伏,0,0,0
12155,江西,光伏,0,0,0
12157,四川,光伏,0,0,0
12158,江苏,光伏,0,0,0
12160,山西,光伏,0,0,0
12164,山东,光伏,0,0,0
12167,山西,光伏,0,0,0
12168,河南,光伏,0,0,0
12171,湖北,光伏,0,0,0
12173,湖北,光伏,0,0,0
12178,江西,光伏,0,0,0
12182,湖北,光伏,0,0,0
12183,浙江,光伏,0,0,0
12184,安徽,光伏,0,0,0
12185,陕西,光伏,0,0,0
12186,江苏,光伏,0,0,0
12187,内蒙古,光伏,0,0,0
12188,山东,光伏,0,0,0
12189,山东,光伏,0,0,0
1219,广东,光伏,0,0,0
12192,宁夏,光伏,0,0,0
12196,河南,光伏,0,0,0
12198,辽宁,光伏,0,0,0
122,甘肃,光伏,6,6,0
12200,辽宁,光伏,0,0,0
