learning_case,central_component_case,year,direct_capex_share_of_installed_capex,stack_share_of_direct_capex,stack_share_of_installed_capex,nonstack_equipment_share_of_installed_capex,bop_epc_share_of_installed_capex,stack_embodied_newbuild_capital_saving_share,nonstack_equipment_newbuild_capital_saving_share,bop_epc_newbuild_capital_saving_share,total_newbuild_capital_saving_share,incumbent_stack_embodied_share_of_newbuild_capital_saving
base,False,2039,0.5,0.25,0.125,0.375,0.5,0.056249999999999994,0.16874999999999998,0.15670806045248098,0.38170806045248096,0.14736393025947794
base,False,2040,0.5,0.25,0.125,0.375,0.5,0.056249999999999994,0.16874999999999998,0.15881974886863182,0.3838197488686318,0.14655316764133577
base,False,2041,0.5,0.25,0.125,0.375,0.5,0.056249999999999994,0.16874999999999998,0.1612176300772517,0.3862176300772517,0.14564327368677812
base,False,2042,0.5,0.25,0.125,0.375,0.5,0.056249999999999994,0.16874999999999998,0.16339200553725636,0.38839200553725634,0.14482790376230914
base,False,2043,0.5,0.25,0.125,0.375,0.5,0.056249999999999994,0.16874999999999998,0.16537991113528694,0.3903799111352869,0.14409040628247505
base,False,2044,0.5,0.25,0.125,0.375,0.5,0.056249999999999994,0.16874999999999998,0.16720995615463102,0.392209956154631,0.14341808288472696
base,False,2045,0.5,0.25,0.125,0.375,0.5,0.056249999999999994,0.16874999999999998,0.16890468999470076,0.39390468999470074,0.14280104154321374
base,False,2046,0.5,0.25,0.125,0.375,0.5,0.056249999999999994,0.16874999999999998,0.17048219415219862,0.3954821941521986,0.1422314350222113
base,False,2047,0.5,0.25,0.125,0.375,0.5,0.056249999999999994,0.16874999999999998,0.17195718473490051,0.3969571847349005,0.14170293966984215
base,False,2048,0.5,0.25,0.125,0.375,0.5,0.056249999999999994,0.16874999999999998,0.17334179540775457,0.39834179540775455,0.14121038928998353
base,False,2049,0.5,0.25,0.125,0.375,0.5,0.056249999999999994,0.16874999999999998,0.17464614568602577,0.39964614568602574,0.14074951205507613
base,False,2050,0.5,0.25,0.125,0.375,0.5,0.056249999999999994,0.16874999999999998,0.175,0.39999999999999997,0.140625
base,False,2051,0.5,0.25,0.125,0.375,0.5,0.056249999999999994,0.16874999999999998,0.175,0.39999999999999997,0.140625
base,False,2052,0.5,0.25,0.125,0.375,0.5,0.056249999999999994,0.16874999999999998,0.175,0.39999999999999997,0.140625
base,False,2053,0.5,0.25,0.125,0.375,0.5,0.056249999999999994,0.16874999999999998,0.175,0.39999999999999997,0.140625
base,False,2054,0.5,0.25,0.125,0.375,0.5,0.056249999999999994,0.16874999999999998,0.175,0.39999999999999997,0.140625
base,False,2055,0.5,0.25,0.125,0.375,0.5,0.056249999999999994,0.16874999999999998,0.175,0.39999999999999997,0.140625
base,False,2056,0.5,0.25,0.125,0.375,0.5,0.056249999999999994,0.16874999999999998,0.175,0.39999999999999997,0.140625
base,False,2057,0.5,0.25,0.125,0.375,0.5,0.056249999999999994,0.16874999999999998,0.175,0.39999999999999997,0.140625
base,False,2058,0.5,0.25,0.125,0.375,0.5,0.056249999999999994,0.16874999999999998,0.175,0.39999999999999997,0.140625
base,False,2059,0.5,0.25,0.125,0.375,0.5,0.056249999999999994,0.16874999999999998,0.175,0.39999999999999997,0.140625
base,False,2060,0.5,0.25,0.125,0.375,0.5,0.056249999999999994,0.16874999999999998,0.175,0.39999999999999997,0.140625
base,False,2026,0.5,0.35,0.175,0.325,0.5,0.0,0.0,0.0,0.0,
base,False,2027,0.5,0.35,0.175,0.325,0.5,0.06964506027350274,0.1293408262222194,0.08523889238853533,0.28422477888425746,0.24503514629125187
base,False,2028,0.5,0.35,0.175,0.325,0.5,0.07874999999999999,0.14625,0.09941652637300585,0.32441652637300583,0.24274349053801053
base,False,2029,0.5,0.35,0.175,0.325,0.5,0.07874999999999999,0.14625,0.10874621846861265,0.33374621846861263,0.2359577296825794
base,False,2030,0.5,0.35,0.175,0.325,0.5,0.07874999999999999,0.14625,0.11566665012648902,0.340666650126489,0.2311643947852255
base,False,2031,0.5,0.35,0.175,0.325,0.5,0.07874999999999999,0.14625,0.12511806609112414,0.3501180660911241,0.22492412596470807
base,False,2032,0.5,0.35,0.175,0.325,0.5,0.07874999999999999,0.14625,0.13202547152629818,0.35702547152629815,0.22057249770819037
base,False,2033,0.5,0.35,0.175,0.325,0.5,0.07874999999999999,0.14625,0.13744942872632931,0.3624494287263293,0.21727169022374396
base,False,2034,0.5,0.35,0.175,0.325,0.5,0.07874999999999999,0.14625,0.14190372596657924,0.3669037259665792,0.21463396097311158
base,False,2035,0.5,0.35,0.175,0.325,0.5,0.07874999999999999,0.14625,0.14567579530237512,0.3706757953023751,0.21244980383939138
base,False,2036,0.5,0.35,0.175,0.325,0.5,0.07874999999999999,0.14625,0.1489424461381953,0.3739424461381953,0.2105939050601838
base,False,2037,0.5,0.35,0.175,0.325,0.5,0.07874999999999999,0.14625,0.1518200584802583,0.3768200584802583,0.2089856901928317
base,False,2038,0.5,0.35,0.175,0.325,0.5,0.07874999999999999,0.14625,0.15438923494022572,0.3793892349402257,0.20757046523053657
base,False,2039,0.5,0.35,0.175,0.325,0.5,0.07874999999999999,0.14625,0.15670806045248098,0.38170806045248096,0.20630950236326911
base,False,2040,0.5,0.35,0.175,0.325,0.5,0.07874999999999999,0.14625,0.15881974886863182,0.3838197488686318,0.20517443469787008
