ObjectId,merge_province_cn,power_type_cn,capacity_mw,latitude,longitude,resource_branch,low_return_entry,colocated_6p5_same_configuration,colocated_6p5_independent_optimized,independent_h2_8_independent_optimized,strict_marginal_vs_6p5,strict_marginal_vs_8,optimized_capture_target,optimized_electrolyzer_mw,optimized_h2_t_per_year,npv_low_100m_cny,npv_colocated_6p5_100m_cny,npv_independent_h2_8_100m_cny
10238,河北,光伏,8.5,41.162,114.873,curtailment_only,False,False,False,False,False,False,0.95,1.1642196608026696,10.963107039135537,-0.16007121725867623,-0.10255489580278448,-0.0929473868295468
1024,广西,光伏,140.0,22.0738,107.3584,curtailment_only,False,False,False,False,False,False,0.2,1.2148230413022874,19.894398998378637,-0.0955972059397286,-0.0740174515612955,-0.06945296669158285
10241,河北,光伏,7.6,41.4859,117.6154,curtailment_only,False,False,False,False,False,False,0.99,1.2212911049995028,9.234011288273354,-0.18702699903351533,-0.11638477043067624,-0.10484427158510568
10242,河北,光伏,5.9,41.4859,117.6154,curtailment_only,False,False,False,False,False,False,1.0,1.426685791015625,6.0470826138161025,-0.2584507864101206,-0.1543659682006418,-0.13782630924045966
10245,吉林,光伏,14.4,42.7667,129.4333,curtailment_only,False,False,False,False,False,False,0.95,1.176260910879998,7.962333932222784,-0.1879185060830178,-0.1156978529042281,-0.10398784560921898
10247,重庆,光伏,2.0,31.0333,108.8625,curtailment_only,False,False,False,False,False,False,0.01,0.0,0.0,0.0,0.0,0.0
1025,广西,光伏,90.0,22.1032,107.3845,curtailment_only,False,False,False,False,False,False,0.3,1.2371280506631348,18.65269384139119,-0.11084741637761854,-0.08161804528748307,-0.07593880624319992
10252,新疆,光伏,10.0,40.603,79.668,curtailment_only,False,False,False,False,False,False,0.8,1.218015853376152,24.9714003485488,-0.06023413094933602,-0.05651119501834507,-0.054590890532908075
10253,甘肃,光伏,1.0,40.2774,96.456,curtailment_only,False,False,False,False,False,False,0.01,0.001005792451011801,0.02898681629370001,1.053289269919737e-05,-1.6965678064190216e-05,-1.989232091193767e-05
10256,浙江,光伏,3.6,29.108,119.6486,curtailment_only,False,False,False,False,False,False,0.01,0.0,0.0,0.0,0.0,0.0
10259,甘肃,光伏,5.0,40.0901,94.495,curtailment_only,False,False,False,False,False,False,1.0,1.389382568359375,11.874053239210674,-0.2011273569402799,-0.12694366175924365,-0.11470088617374642
10264,河南,光伏,13.5,33.377,112.635,curtailment_only,False,False,False,False,False,False,1.0,1.316490966796875,3.1521569063248798,-0.2589679640579125,-0.1518630337350571,-0.13503333477907611
10266,河北,光伏,7.7,39.3563,114.7443,curtailment_only,False,False,False,False,False,False,0.99,1.2051506433709311,9.87127358068067,-0.17816603398796044,-0.11189673785107052,-0.10099728356810603
10269,甘肃,光伏,15.0,40.114,94.501,curtailment_only,False,False,False,False,False,False,0.6,1.0484540782662326,25.14255500719409,-0.025362543637964415,-0.035635130704921886,-0.035967294241304335
1027,广西,光伏,50.0,22.0875,107.0658,curtailment_only,False,False,False,False,False,False,0.5,1.317971678834322,16.38912810051592,-0.14741869147638217,-0.10051238183606799,-0.09222056287729818
10271,甘肃,光伏,10.0,39.5785,98.8123,curtailment_only,False,False,False,False,False,False,0.8,1.131800278964481,21.24047354987824,-0.06968084016764188,-0.05933348102427666,-0.0565261056753528
10276,浙江,光伏,1.8,30.05,121.15,curtailment_only,False,False,False,False,False,False,0.01,0.0,0.0,0.0,0.0,0.0
10277,甘肃,光伏,18.0,40.084,94.491,curtailment_only,False,False,False,False,False,False,0.5,1.0131340888814988,25.488353234669248,-0.015965299465062074,-0.030214524772166317,-0.03117451854511335
1028,广西,光伏,100.0,22.1036,107.3847,curtailment_only,False,False,False,False,False,False,0.3,1.3745868096470608,20.725215591381822,-0.12316381299508634,-0.09068672696654664,-0.08437646025587144
10281,山东,光伏,1.2,37.1773,119.9371,curtailment_only,False,False,False,False,False,False,0.01,0.0005118776051773363,0.00920187786045544,-3.4494463022052495e-05,-2.836023750432631e-05,-2.6870593798979786e-05
